race,count,percentage
White,226615,0.55223327752881
Black or African American,78321,0.19085878043966167
None Indicated,64614,0.1574564834377536
Asian,14162,0.03451107683235005
PMI: Skip,9054,0.022063500186421225
More than one population,7720,0.018812703936290243
None of these,4351,0.010602859433523166
Another single population,2987,0.0072789568209454605
I prefer not to answer,2537,0.006182361384244604
